Marca temporal;Código de estudiante;Sexo;Edad;Nombre de la escuela;Población;Curso;I. Marca la opción correcta (en este ejemplo la opción correcta es la B);II. Marca la opción correcta (en este ejemplo la opción correcta es la C);III. Marca la opción correcta (en este ejemplo la opción correcta es la A);Pregunta 1. Marca la opción correcta;Pregunta 2. Marca la opción correcta;Pregunta 3. Marca la opción correcta;Pregunta 4. Marca la opción correcta;Pregunta 4b. Marca la opción correcta;Pregunta 5. Marca la opción correcta;Pregunta 6. Marca la opción correcta;Pregunta 7. Marca la opción correcta;Pregunta 8. Marca la opción correcta;Pregunta 9. Marca la opción correcta;Pregunta 10. Marca la opción correcta;Pregunta 10b. Marca la opción correcta;Pregunta 11. Marca la opción correcta;Pregunta 12. Marca la opción correcta;Pregunta 13. Marca la opción correcta;Pregunta 14. Marca la opción correcta;Pregunta 15. Marca la opción correcta;Pregunta 16. Marca la opción correcta;Pregunta 17. Marca la opción correcta;Pregunta 18. Marca la opción correcta;Pregunta 19. Marca la opción correcta;Pregunta 20. Marca la opción correcta;Pregunta 20b. Marca la opción correcta;Pregunta 21. Marca la opción correcta;Pregunta 22. Marca la opción correcta;Pregunta 23. Marca la opción correcta;Pregunta 24. Marca la opción correcta;Pregunta 25. Marca la opción correcta;Pregunta 26. Marca la opción correcta;Pregunta 27. Marca la opción correcta;Pregunta 28. Marca la opción correcta;Pregunta 28b. Marca la opción correcta;De 0 a 10, ¿cómo consideras que te ha salido el Test?;De 0 a 10, ¿cómo consideras que se te dan los ordenadores y la informática?
15/01/2019 13:56:53;LH2006M;Neska;12;ZUNZUNEGUI;portugalete;1D3;B;C;A;B;C;D;A;D;C;D;A;B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
15/01/2019 13:58:07;dn2m;Mutila;12;zunzunegui;Portugalete;1D3;B;C;A;B;C;D;D;C;C;D;A;D;D;C;D;C;A;B;C;C;A; ; ; ; ; ; ; ; ; ; ; ; ; ;B;;
15/01/2019 13:58:48;e1yp;Neska;12;J.A zunzunegui;Portugalete;1D3;B;C;A;B;C;D;D;C;C;D;A;D;D;C;D;C; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
16/01/2019 12:37:31;LO2005U;Neska;13;zunzunegui;santurtzi;1D2;A;A;B;A;B;C;D;B;A;C;C;D;D;C;A;B;C;D;B;B;B;A;D;B;A;C;C;D;A;B;C;A;D;A;C;5;6
16/01/2019 12:40:22;bjj;Mutila;12;ander barrios ;españa;1d2;B; ;A;B;C;C;D;A;D;C; ;A;D;B;A;C;B;D;B;A;C;D;A;B;A;C;D;A;C;A;B;A;D;B; ;6;10
16/01/2019 12:41:21;XG2006A;Mutila;12;zunzunegui;portugalete;1 dbh;B;C;A;B;C;C;D;A;C;B;D;A;D;A;C;A;D;C;B;B;C;A;D;C;B;A;B;B;B;D;D;A;B;A;D;5;6
16/01/2019 12:42:34;ej33;Neska;12;Zunzunegui;Portugalete;1D2;B;C;A;B;C;D;A;C;B;D;D;C;D;C;D;A;A;B;A;C;D;A;B;D;C;A;D;A;B;C;B;B;A;C;C;7;8
16/01/2019 12:42:52;JR2006M;Mutila;12;Zunzunegui;Portugalete;1D2;B;C;A;B;C;D;D;B;B;D;A;A;D;C;B;C;D;B;A;D;A;B;A;C;A;C;A;B;C;C;C; ;C;C;A;6;8
16/01/2019 12:44:57;dzqm;Bestelakoa;13;zunzunegui;España;1D2;B;C;A;B;C;B;D;C;C;D;B;A;B;B;A;D;C;A;D;B;C;D;A;C;A;B;A;C;D;C;A;B;D;C;A;4;1
16/01/2019 12:48:54;d2z2;Neska;12;J.A. Zunzunegui;Portugalete;1 ESO;B;C;A;B;C;D;D;C;C;D;A;C;D;C;D;C;D;B;A;C;D;A;A;C;C;D;A;A;D;C;D;B;C;C;A;8;7
16/01/2019 12:50:16;dk84;Neska;12;zunzunegui;portugalete;1D2;B;C;A;B;C;D;A;B;C;D;D;D;D;B;D;C;D;B;A;C;D;A;C;D;B;A;C;A;D;A;B;A;B;C;C;7;7
16/01/2019 12:50:18;g3yr;Neska;12;zunzunegui;portugalete;1d2;B;C;A;B;C;D;D;B;C;D;A;B;D;C;A;C;D;B;C;D;C;C;C;A;A;B;C;C;D;A;B;B;D;B;C;7;7
16/01/2019 12:51:30;dn8m;Neska;12;J.AZunzunegui BHI;Portugalete;1.eso 1D2;B;C;A;B;C;D;A;B;C;B;B;A;A;A;C;B;D;C;B;B;A;C;D;B;B;A;B;C;A;D;B;D;A;D;A;8;6
16/01/2019 12:53:14;qm84;Neska;12;zunzunegui;portugalete;1 D2;B;C;A;B;C;D;B;B;C;D;C;C;D;C;A;C;C;B;C;A;B;C;C;D;C;C;C;B;B;A;B;D;A;C;B;7;5
16/01/2019 12:53:32;e7y1;Mutila;13;zinzinegui;portugalete;1D2;B;C;A;B;C;D;A;C;C;D;A;C;A;C;B;B;B;C;C;A;A; ;B;A;D;B;B;A;D;C;C;C; ;C;C;7;7
16/01/2019 12:55:18;epyq;Neska;12;zunzunegui;portugalete;1ESO;B;C;A;B;C;C;A;D;C;D;C;B;D;C;A;C;B;B;A;C;D;B;A;B;C;D;A;A;D;C;B;B;D;C;A;6;9
16/01/2019 13:00:03;g0o5;Neska;12;zunzunegui;portugalete;1d2;B;C;A;B;C;D;D;A;C;D;A;D;D;C;D;C;D;B;A;C;C;C;C;A;C;D;C;B;B;C;B;C;B;C;D;7;9
16/01/2019 13:04:16;ej32;Mutila;12;Zunzunegui;Portugalete;1D2;B;C;A;B;C;D;D;C;C;D;A;C;D;C;A;D;D;B;A;C;D;B;A;C;C;D;A;B;D;A;D;A;A;C;D;10;8
16/01/2019 13:37:38;dk04;Mutila;14;zunzunegui;Portugalte;1dbh;B;C;D;D;A;D;D;B;B;C;C;C;C;A;C;D;D;D;C;A;D;C;B;B;C;C;D;B;C;D;B;C;B;C;C;6;8
16/01/2019 13:48:56;e4lj;Mutila;12;J.A Zunzunegui;Portiugalete;1D4;B;C;A;B;C;A;C;C;C;D;C;C;D;C;D;A;C;C;A;D;D;C;C;A;C;D;C;A;A;D;B;C; ;A;D;8;6
21/01/2019 10:17:01;dqz3;Neska;11;Santa María de Vitoria;Gasteiz;6;B;C;A;B;C;C;A;B;C;D;B;C;D;C;C;C;D;B;C;C;C;C;A;D;B;B;C;B;C;C;B;C;B;D;B;7;7
21/01/2019 10:17:36;e71j;Mutila;11;Marianistas;Vitoria;6.C;B;C;A;B;C;D;A;C;C;D;B;A;D;C;A;C;B;A;B;D;C;D;C;B;A;C;B;C;D;C;C;D;B; ;D;8;8
21/01/2019 10:19:11;g392;Mutila;11;Mikel;Gazteis;6;B;C;A;B;C;D;B;D;C;A;D;A;D;B;C;C;B;A;C;D;C;A;B;C;A;B;D;C; ;A;B;C;C;C;D;5;5
21/01/2019 10:19:34;dnw8;Neska;11;Marianistas;gazteiz;6.C;B;C;A;B;A;B;B;B;C;B;A;B;A;A;A;A;D;D;D;A;A;A;B;C;C;A;A;A;B;A;A;D;C;C;D;6;10
21/01/2019 10:20:48;dq73;Neska;12;Marianistas;Vitoria;6.C;B;C;A;B;C;C;C;D;C;C;D;C;D;A;C;D;C;D;A;C;D;B;B;D;A;C;B;D;B;A;C;C;A;A;D;0;10
21/01/2019 10:20:57;d2wl;Neska;11;marianistas ;Vitoria-gasteiz;6.maila ;B;C;A;B;C;C;B;C;B;A;C;C;B;C;D;A;B;B; ;D;C;C;B; ;C;D;C; ;C;D;A;C;D;C;A;2;1
21/01/2019 10:21:50;dk99;Neska;11;Marianistas - Vitoria ;Vitoria - Gazteiz ;6;B;C;A;B;D;B;C;A;C;D;A;C;D;B;A;A;C;C;A;D;C;B;C;A;D;A;B;A;C;D;A;D;B;C;C;5;7
21/01/2019 10:22:25;e17m;Neska;11;Marianistas;Vitoria Gazteis;6;B;C;A;B;C;B;D;C;C;A;D;B;D;B;C;D;C;B;D;C;A;B;D;C;D;B;C;D;C;B;B;B;C;D;D;7;8
21/01/2019 10:22:30;dw64;Neska;11;marianistas;gasteiz;6;B;C;A;B;C;D;A;C;C;D;D;D;D;C;C;B;D;A;A;C;C;C;A;B;A;C;C;C;D;C;B;A;B;D;A;6;9
21/01/2019 10:22:45;epm6;Mutila;12;marianistas;vitoria-gasteiz;6;B;C;A;B;C;D;D;A;C;A;A;D;D;C;D;C;C;D;B;A;C;B;D;A;D;C;C;A;D;B;B;A;D;B;C;3;3
21/01/2019 10:22:49;dnk8;Neska;11;marianistas - gasteiz;vitoria - gasteiz;6 . maila;B;C;A;B;C;D;A;B;B;D;C;D;D;C;B;C;D;A;B;D;B;C;A;D;A;A;D;A;D;C;C;B;C;D;A;7;7
21/01/2019 10:22:57;dzkp;Neska;12;Marianistas;Vitoria-Gasteiz;L.H. 6.C;B;C;A;B;C;D;A;C;C;D;A;B;D;C;C;C;A;D;B;B;A;D;B;C;D;A;A;C;B;D;B;A;C;B;D;5;8
21/01/2019 10:23:07;dkm9;Bestelakoa;11;Marianistas-Ikastetxea;Vitoria;6;B;C;A;B;C;D;D;B;C;D;A;B;A;C;B;C;A;C;D;A;A;B;D;B;C;B;C;A;D;D;C;C;C;A;B;8;10
21/01/2019 10:23:10;ey2x;Mutila;12;marianistas;vitoria;6;B;C;A;B;C;B;A;B;C;C;D;B;D;C;B;A;A;B;C;A;C;D;B;A;B;C;B;C;D;A;C;B;D;C;B;6;8
21/01/2019 10:23:17;g619;Mutila;11;Marianistas;Gasteiz;6 C;B;C;A;B;C;D;A;C;C;D;A;B;D;C;D;C;A;B;A;C;B;B;C;D;A;B;A;C;B;B;C;B;C;A;C;10;10
21/01/2019 10:23:28;eyjx;Neska;11;Marianistas Ikastetxea;Vitoria-Gasteiz;6;B;C;A;B;C;D;D;A;C;A;A;D;D;C;A;C;B;A;C;B;A;B;D;A;C;D;B;A;D;C;B;A;D;C;C;6;9
21/01/2019 10:23:58; d5w0;Mutila;11;marianistas;vitoria gazteis;6;B;C;A;B;C;A;B;A;C;D;B;A;C;C;D;C;D;B;C;D;A;D;A;C;D;C;A;B;C;D;B;B;D; ;C;7;2
21/01/2019 10:24:12;dwq4;Mutila;11;marianistas vitoria;Gasteiz;6;B;C;A;B;B;A;A;C;C;D;A;B;D;C;B;B;B;C;B;A;D;B;C;D;A;B;B;D;C;A;A;C;D;A;D;7;8
21/01/2019 10:24:18;emoz;Neska;12;marianistas;vitoria;6;B;C;A;B;C;D;A;C;C;D;A;C;D;C;D;C;B;D;A; ;A;B;D;B;A;A;A;B;B;C;B;A;A;D;B;6;8
21/01/2019 10:25:37;go48;Neska;11;Marianistas;Vitoria-Gasteiz;6 PRIMARIA;B;C;A;B;C;D;D;D;C;D;A;D;D;C;A;C;B;C;A;C;D;A;B;C;C;D;D;A;B;A;D;B;A;C;B;7;6
21/01/2019 10:25:51;g9y0;Neska;11;marianistas;vitoria;6;B;C;A;B;C;D;B;C;C;D;B;C;D;C;C;A;D;C;B; ;B;B;C;D;A;B;B;D;C;A;D;A;B;D;C;5;9
21/01/2019 10:26:11;g910;Mutila;11;marianistas gazteiz;vitoria-gazteiz;6ºC;B;C;A;B;C;D;D;B;C;D;A;B;D;C;B;C;D;C;D;A;B;C;B;D;A;D;A;C;B;D;D;B;A;C;D;8;4
21/01/2019 10:26:20;epw6;Mutila;11;Marianistas Gasteiz;Vitoria-Gasteiz;6.Maila;B;C;A;B;C;D;A; ;C;D;B;B;D;C;B;A;D;B;C;C;A;D;B;C;A;C;B;A;D;B;B;D;C;A;B;4;8
21/01/2019 10:27:41;d81n;Neska;11;Marianistas;Gasteiz;6. C;B;C;A;B;C;D;D;C;C;D;A;C;D;C;A;C;A;D;A;D;C;D;C;C;A;B;B;B;D;B;C;D;B;C;C;5;8
21/01/2019 10:28:07;                 dzwp                                                      ;Mutila;11;marianistas;Vitoria;6.maila;B;C;A;B;C;D;A;C;C;D;B;D;D;C;B;B;B;B;D;B;C;D;B;B;B;D;A;A;C;C;B;B;D;D;A;7;10
21/01/2019 10:28:57;e4wk;Neska;11;marianistas;Vitoria-Gasteiz;6;B;C;A;B;C;D;A;B;C; ; ;B;D;A;A; ; ;A;B;C;D;A;B;C; ;A;C;C;D;B; ;C;C;C;D;3;8
21/01/2019 10:29:45;EVQ4;Neska;11;Aitana;Vitoria - gazteiz;6.C;B;C;A;B;C;B;D;D;C;D;C;C;D;B;A;C;D;A;C;D;C;B;A;B;C;D;A;C;D;B;A;B;A;C;D;6;7
21/01/2019 10:29:52;g6x9;Mutila;12;marianistas ;gasteiz;6;B;C;A;B;C;D;D;C;C;D;C;B;D;C; ;C;A;B;A;D;D;B;B;B;C;D;A;A;D;C;C;B;B;C;C;7;10
21/01/2019 10:30:02;d510;Mutila;11;Marianistas Gasteiz;Vitoria Gasteiz;6.maila;B;C;A;B;C;D;D;C;C;D;A;B;D;C; ;C;A;B;A;D;D;B;A;B;C;D;A;B;B;C;D;B;A;C;B;8;8
21/01/2019 10:30:52;eywx;Neska;11;Marianistas;Gazteiz;6.maila;B;C;A;B;C;D;A;C;C;D;B;D;D;C;A;C;C;C;A;A;D;B;A;C;C;B;D;B;D; ;B;B;C;B;A;5;8
21/01/2019 10:31:11;g00k;Neska;11;marianistas;vitoria;6.maila;B;C;A;B;C;D;D;B;C;D;A;D;D;C;A;D;A;B;A;D;C;A;A;D;A;A;A;C;D;C;B;B;B;C;C;7;8
21/01/2019 10:32:51;dww4;Neska;11;Marianistas;Vitoria-gasteiz;6.maila;B;C;A;B;C;C;A;B;C;D;A;B;D;C;A;C;A;B;D;C;A;A;A;B;A;B;A;A;B;C;B;B;C;C;A;5;8
21/01/2019 10:32:59;d8yn;Neska;11;Marianistas;Gasteiz;6.;B;D;A;B;C;D;D;C;C;D;A;B;D;C;A;C;B;B;A;C;C;B;A;D;A;B;B; ;A;C;B;C;A;C;B;4;7
21/01/2019 10:34:34;ep46;Neska;11;Marianistas;Vitoria-Gazteis;6.D;B;C;A;B;C;D;A;B;C;D;D;D;D;A;D;C;B;B;B;A;C;A;B;C;A;C;D;A;B;A;B;C;B;C;B;7;5
21/01/2019 10:37:09;dqq3;Neska;11;Marianistas;Vitoria-Gazteis;6.D;B;C;A;B;C;D;D;B;C;D;A;C;D;C;B;C;A;B; ;C;C;B;A;D;A;B;D;A;D;C;D;B;A;C;C;7;9
21/01/2019 10:42:17;evy4;Mutila;11;marianistas;vitoria;6.maila;B;C;A;B;C;D;D;C;C;D;A;B;D;C;A;C;D;D;A;D;A;B;A;B;A;B;A;A;D;A;B;B;B;C;A;7;8
21/01/2019 10:43:17;Mdl92341;Mutila;11;Mrianistas;Vitoria Gasteiz;6 LH;B;C;A;B;C;D;A;C;C;D;A;B;D;C;A;C;D;B;C;D;C;B;A;D;C;A;A;C;B;A;D;B;B;C;B;7;9
21/01/2019 11:15:59;emjz;Mutila;11;Marianistas;españa;6.B;B;C;A;B;C;B;B;B;C;D;B;D;D;C;C;A;B;B;C;C;B;B;C;B;A;C;D;C;C;A;B;B;C;D;A;5;5
21/01/2019 11:16:02;g6wp;Mutila;11;marianistas;vitoria;6.B;B;C;A;B;C;B;C;B;B;A;D;D;D;C; ; ;C;B;B;B;A;B;B;D;C;D;C;B;A;C;B;B;D;B;D;5;5
21/01/2019 11:17:22;eyv0;Neska;11;marianistas ikastetxea;Vitoria-gazteiz;6B;B;C;A;B;C;D;A;D;C;D;A;B;D;C;C;C;C;D;C;B;B;D;C;D;C;B;D;C;B;D;C;B;C;B;D;6;8
21/01/2019 11:17:37;glr3;Neska;11;Marianistas;Vitoria;6;B;C;A;B;C;D;A;C;C;D;A;A;D;C;A;C;C;B;B;C;C;D;C;D;C;B;D;C;D;B;D;B;C;A;B;7;8
21/01/2019 11:18:24;emvv;Neska;12;Marianistas;Vitoria-Gasteiz;6;B;C;A;B;C;B;A;D;C;D;C;B;D;C;A;C;C;B;D;C;C;D;C;D;C;B;D;C;B;B;C;B;A;C;C;7;8
21/01/2019 11:19:01;d2p5;Neska;11;Marianistas ;Vitoria-Gasteiz;6.B;B;C;A;B;A;D;A;C;C;D;A;D;D;D;C;A;D;B;C;B;D;B;C;A;D;A;C;A;B;D;D;A;D;B;D;6;10
21/01/2019 11:21:23;dqnv;Neska;11;Santamaria Marianistas;Vitoria;6.B ;B;C;A;B;C;A;C;D;C;D;D;B;D;C;C;C;A;A;D;D;B;B;C;D;A;B;A;A;C;B;A;B;C;C;C;7;10
21/01/2019 11:21:57;dg20050;Neska;11;marianistas;vitoria ;6b;B;C;A;C;A;B;B;A;C;B;A;D;C;A;D;A;B;C;A;D;B;D;B;A;C;D;B;C;B;A;B;C;A;D;B;2;7
21/01/2019 11:22:09;g3p6;Neska;12;Marianistas;Vitoria-Gasteiz;6;B;C;A;A;C;D;A;C;C;D;A;C;D;C;A;D;D;B;B;A;C;D;C;B;A;D;D;A;D;C;C;B;C;B;D;1;1
21/01/2019 11:22:39;emjv;Neska;11;MARIANISTAS;GASTEIZ;SEIGARREN MAILA;B;C;A;B;C;C;A;B;C;D;C;C;D;C;A;D;A;B;C;D;B;A;C;B;A;A;B;A;C;D;B;A;C;A;D;7;6
21/01/2019 11:23:18;d8xo;Neska;11;Marianistas;Vitoria- Gasteiz;6;B;C;A;B;A;C;C;A;B;D;A;B;D;A;A;A;B;B;A;C;B;C;C;B;C;C;A;A;B;A;D;B;A;C;C;8;7
21/01/2019 11:26:32;e42o;Neska;11;Santa María Marianistas;Vitoria-Gasteiz;6.B;B;C;A;B;C;B;A;C;C;D;A;C;D;C;B;C;D;B;A;C;C;A;A;B;C;B;A;A;D;C;C;B;A;C;B;9;9
21/01/2019 11:26:57;dw5k;Mutila;11;Santamaria marianiastas;Vitoria;6 maila B;B;C;A;B;C;D;A;D;C;D;A;C;D;C;A;C;A;B;A;C;A;B;B;B;A;B;D;C;D;A;C;B;B;C;B;8;10
21/01/2019 11:28:15;dkxw;Mutila;11;Marianistas;Vitoria-Gazteiz;6º;B;C;A;B;C;D;A;B;C;D;D;C;D;C;B;C;C;A;C;C;C;C;B;A;D;C;B;A;B;B;C;C;A;C;A;7;7
21/01/2019 11:29:04;g0q7;Neska;11;Marianistas;Vitoria;6.B;B;C;A;B;C;D;D;A;C;D;C;D;C;C;D;A;C;B;C;C;A;C;A;D;C;A;D;A;C;B;C;D;B;C;B;5;5
21/01/2019 11:29:27;ej2n;Mutila;11;nicolas gomez ;vitoria-gasteiz;6.b;B;C;A;B;C;D;A;C;C;D;A;B;D;C;C;C;A;B;C;B;C;C;A;B;C;A;A;A;D;C;C;A;D;A;B;7;9
21/01/2019 11:30:06;epp4;Neska;11;Santa Maria Marianistas;Vitoria-Gasteiz;6.B;B;C;A;B;C;D;A;C;C;D;A;D;D;A;B;C;D;B;A;C;A;B;A;C;A;D;C;A;A;C;D;B;C;B;A;8;8
21/01/2019 11:31:03;e726;Mutila;11;Marianistas;Vitoria-Gasteiz;6ºB;B;C;A;B;C;D;A;C;C;D;A;B;D;C;A;C;C;B;D;A;C;A;A;B;A;B;A;A;D;A;A;B;A;C;A;8;9
21/01/2019 11:31:52;ej22;Mutila;11;Marianistas;Vitoria-Gasteiz;6;B;C;A;B;C;D;B;B;C;D;A;A;D;C;A;C;C;B;D;C;C;B;A;B;A;C;A;B;B;D;C;A;B;C;B;6;8
21/01/2019 11:34:18;e1qx;Mutila;11;Iñigo;vitoria;6.B;B;C;B;B;B;A;D;B;C;A;C;A;D;D;A;A;C;A;B;C;D;A;D;B;C;A;A;B;D;C;A;D;C;B;A;10;10
21/01/2019 11:34:27;d59q;Neska;11;Marianistas;Segorbe;6.B;B;C;A;B;C;D;D;D;C;D;A;D;D;B;D;C;C;B;C;A;C;C;A;B;A;B;D;A;D;C;B;B;A;B;D;10;10
21/01/2019 11:36:24;dnpk;Mutila;11;Marianistas;Vitoria-Gasteiz;6.B;B;C;A;B;C;B;A;D;B;C;B;C;D;A;C;A;D;B;D;A;C;A;C;B;D;B;A;C;B;D;B;B;A;C;D;9;8
21/01/2019 11:37:50;dzx3;Neska;12;Marianistas;Vitoria;6.B;B;C;A;B;C;D;A;B;C;C;D;B;B;A;C;D;C;B;D;C;A;A;C;B;D;B;C;B;D;A;B;C;D;A;C;5;8
21/01/2019 11:39:18;ev92;Neska;11;Marianistas;vitoria;6.B;B;C;A;B;C;D;C;B;B;A;A;A;D;A;D;C;C;A;A;B;C;C;A;B;C;B;D;A;D;B;C;B;D;A;C;5;2
21/01/2019 11:39:40;dKx9;Neska;11;Marianistas;Vitoria-Gasteiz;6ºB;B;C;A;B;C;D;D;C;C;D;A;B;D;C;C;A;D;B;A;C;D;C;A;B;C;B;A;A;D;B;B;C;D;C;C;7;9
21/01/2019 12:25:26;e7j6 ;Mutila;11;Marianistas;Vitoria-Gasteiz;6.maila;B;C;A;B;C;A;D;C;B;D;A;C;D;C;A;C;A;A;A;D;C;B;A;C;C;A;D;D;C;C;A;C;C;B;D;7;9
21/01/2019 12:25:34;g376;Mutila;11;Santa Mería Marianistas;Vitoria-Gasteiz;6.A;B;C;A;B;C;D;A;B;C;D;B;B;A;A;B;D;C;C;A;A;D;B;D;C;A;D;B;A;D;C;C;A;D;B;D;5;5
21/01/2019 12:26:27;ejjn;Mutila;11;santamaria marianistas;vitoria;6.A;B;C;A;B;C;D;A;D;C;D;A;A;A;C;B;C;D;A;D;A;B;A;B;C;A;B;B;C;D;B;A;B;A;C;C;8;9
21/01/2019 12:26:27$1;d80o;Mutila;11;Mario;vitoria;seigarren maila;B;C;A;B;C;D;A;D;C;D;C;B;D;A;C;D;C;B;A;C;A;B;D;C;A;D;B;D;B;D;A;C;B;A;D;6;7
21/01/2019 12:27:16;e1rx;Mutila;12;Marianistas;Vitoria gazteiz;6.A;B;C;A;B;D;D;A;C;C;D;B;D;D;C;C;B;C;B;D;B;A;D;C;A;B;D;B;A;C;D;C;A;D;A;B;7;8
21/01/2019 12:27:22;goo4;Neska;12;Santa María Marianistas;Vitoria-Gasteiz;6;B;C;A;B;C;D;C;B;A;C;D;A;D;B;C; ;D;B;B;C;D;D;C;B;A;D;D;B;C;A;B;C;A;D;C;4;8
21/01/2019 12:27:34;g6lp;Neska;11;Santa María Marianistas;Vitoria-Gasteiz;6.A;B;C;D;B;C;B;A;D;B;C;D;D;A;C;A;B;B;D;B;D;D;C;B;A;C;B;C;D;B;C;D;B;D;C;C;7;5
21/01/2019 12:27:52;eyk0;Neska;11;Marianistas;Vitoria-Gasteiz;6.A;B;C;A;B;C;C;A;C;B;D;B;C;A;A;C;C;C;A;C;A;B;C;A;D;C;B;B;D;B;C;B;A;D;C;B;8;7
21/01/2019 12:28:59;dqkv;Neska;11;Santa María Marianistas;Vitoria-Gasteiz;6;B;C;A;B;C;D;D;C;C;D;A;B;D;C;A;C;A;A;A;A;D;B;A;D;A;B;A;B;B;A;C;A;C;D;B;8;10
21/01/2019 12:30:11;b5kq;Neska;11;Santa Maria Marianistas;Vitoria-gasteiz;6A;B;C;A;B;C;D;A;A;C;D;B;B;D;C;A;C;D;A;C;C;B;B;B;D;C;C;A;B;D;C;D;A;C;C;A;5;7
21/01/2019 12:30:12;e7w6;Mutila;11;marianistas ikastetxea;vitoria gasteiz;6.A;B;C;A;C;C;D;B;D;A;C;B;D;A;C;C;A;D;A;D;B;A;C;D;B;A;D;B;A;D;A;C;A;C;B;D;9;8
21/01/2019 12:30:20;dkkw;Neska;11;Santa María Marianistas;Vitoria-Gasteiz;6;B;C;A;B;C;D;D;B;C;D;A;B;D;C;C;D;B;A;D;A;C;B;D;B;A;C;A;C;D;B;B;A;B;C;D;6;9
21/01/2019 12:30:46;e4jo;Bestelakoa;11;Santa Maria Marianistas;Vitoria-Gasteiz;6.A;B;C;A;B;C;D;A;B;C;D;C;D;D;C;A;C;A;A;D;D;C;B;A;B;A;B;A;A;D;A;D;A;D;C;B;5;5
